,acc_train,acc_test,epsilon,batch_size,hidden_size,aux_loss_activated,EPS1,n
164,99,90,0.1,32,250,True,0.001,200000
165,99,66,0.1,32,250,True,0.01,1000
166,100,78,0.1,32,250,True,0.01,5000
167,99,82,0.1,32,250,True,0.01,10000
168,99,89,0.1,32,250,True,0.01,100000
169,99,90,0.1,32,250,True,0.01,200000
170,100,73,0.1,32,250,True,0.0001,1000
171,99,80,0.1,32,250,True,0.0001,5000
172,99,83,0.1,32,250,True,0.0001,10000
173,99,89,0.1,32,250,True,0.0001,100000
174,99,90,0.1,32,250,True,0.0001,200000
175,100,65,0.1,32,250,True,1e-05,1000
176,98,83,0.1,32,250,True,1e-05,5000
177,99,84,0.1,32,250,True,1e-05,10000
178,99,89,0.1,32,250,True,1e-05,100000
179,99,89,0.1,32,250,True,1e-05,200000
180,100,69,0.1,32,250,False,0.001,1000
181,99,79,0.1,32,250,False,0.001,5000
182,99,80,0.1,32,250,False,0.001,10000
183,99,89,0.1,32,250,False,0.001,100000
184,99,88,0.1,32,250,False,0.001,200000
185,100,67,0.1,32,250,False,0.01,1000
186,99,82,0.1,32,250,False,0.01,5000
187,99,83,0.1,32,250,False,0.01,10000
188,99,88,0.1,32,250,False,0.01,100000
189,99,89,0.1,32,250,False,0.01,200000
190,100,75,0.1,32,250,False,0.0001,1000
191,100,81,0.1,32,250,False,0.0001,5000
192,100,81,0.1,32,250,False,0.0001,10000
193,99,88,0.1,32,250,False,0.0001,100000
194,99,90,0.1,32,250,False,0.0001,200000
195,99,69,0.1,32,250,False,1e-05,1000
196,100,80,0.1,32,250,False,1e-05,5000
197,100,82,0.1,32,250,False,1e-05,10000
